species,previous_name,notes,dissected,ID,Genus,SP,colletor,full_locality_in_label,country,state,locality,updated locality,are_coordinates_original,longitude,latitude,is_date_legible,day_start,month_start,year_start,day_end,month_end,year_end,collection,metadata_notes,sex,head_width,eyes_above,rotrum_width_base,rostrum_width_apex,rostrum_length,pronotum_length,pronotum_width,scutellum_length,scutellum_width,eyes_below,eye_height,eye_length,elytra_length,elytrum_width,prosternum_length,coxae_width,antennae_scape_length,antennae_scape_width,antennae_flagellum_1_length,antennae_flagellum_2_length,antennae_flagellum_3_length,antennae_flagellum_4_length,antennae_flagellum_5_length,antennae_flagellum_6_length,antennae_flagellum_7_length,antennae_flagellum_1_width,antennae_flagellum_2_width,antennae_flagellum_3_width,antennae_flagellum_4_width,antennae_flagellum_5_width,antennae_flagellum_6_width,antennae_flagellum_7_width,antennae_club_length,antennae_club_width,antennae_flagellum_total_length,antennae_flagellum_max_width,femur_length,femur_width,tibia_length,tibia_width
Anchylorhynchus_aegrotus,,NA,F,aegrotus_6,Anchylorhynchus,aegrotus,"Kloss, Lenko, Martins & Silva col.",Serra do Caraça 1380m MG,Brazil,Minas Gerais,Serra do Caraça,NA,F,-43.4075,-20.0747,T,NA,11,1961,NA,NA,NA,MZSP,,female,0.8570,0.1830,0.3550,0.4660,1.0920,1.1420,1.9090,0.1870,0.1210,NA,NA,NA,4.2570,1.3750,0.4440,0.3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_8,Anchylorhynchus,aegrotus,F. Halik,"Santana, São Paulo-SP",Brazil,São Paulo,"São Paulo, Santana",NA,F,-46.62639,-23.50417,T,NA,1,1958,NA,NA,NA,MZSP,,female,0.8070,0.2190,0.3910,0.4670,1.1750,1.0620,1.9200,0.1630,0.1270,NA,NA,NA,4.1240,1.4290,0.3730,0.3900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_9,Anchylorhynchus,aegrotus,Dirings,Nova Teutônia - SC,Brazil,Santa Catarina,Nova Teutônia,"Seara, Nova Teutônia",F,-52.4242,-27.1636,T,NA,12,1945,NA,NA,NA,MZSP,,female,0.7270,0.1760,0.3230,0.4130,1.1100,0.9470,1.6850,0.1710,0.1270,NA,NA,NA,3.7960,1.3160,0.3370,0.3460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_aegrotus,,NA,F,aegrotus_12,Anchylorhynchus,aegrotus,Dirings,Nova Teutônia - SC,Brazil,Santa Catarina,Nova Teutônia,"Seara, Nova Teutônia",F,-52.4242,-27.1636,T,NA,12,1945,NA,NA,NA,MZSP,,female,0.6530,0.1630,0.3280,0.4130,0.9370,0.9050,1.6200,0.1710,0.1290,0.1880,0.4300,0.2520,3.6100,1.2380,0.2970,0.3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_albidus,,NA,T,albidus_1,Anchylorhynchus,albidus,F. M. Oliveira,Maracás-BA,Brazil,Bahia,Maracás,NA,F,-40.4308,-13.4411,T,NA,9,1965,NA,NA,NA,DZUP,,male,0.8570,0.2170,0.3650,0.5130,1.4860,1.0850,1.6690,0.1780,0.2090,0.2820,0.5820,0.3930,3.5440,1.1610,0.4020,0.4170,1.1770,0.1110,0.2330,0.2630,0.2090,0.1280,0.1480,0.1470,NA,0.0820,0.0910,0.0820,0.0840,0.0960,0.1130,NA,0.4170,0.1500,1.1280,0.1130,1.6140,0.4730,1.3790,0.1480
Anchylorhynchus_albidus,,NA,F,albidus_2,Anchylorhynchus,albidus,F. M. Oliveira,Maracás-BA,Brazil,Bahia,Maracás,NA,F,-40.4308,-13.4411,T,NA,9,1965,NA,NA,NA,DZUP,,female,0.8520,0.2190,0.3300,0.4840,1.3560,1.0200,1.5340,0.2330,0.1740,NA,NA,NA,3.6160,1.1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,holotype,F,amazonicus_1,Anchylorhynchus,amazonicus,no data,Amazones,no data,no data,no data,NA,F,NA,NA,T,NA,1,1900,NA,NA,NA,DEI,,male,1.0530,0.2950,0.4810,0.5780,2.1930,1.4500,2.4100,0.1940,0.2340,NA,NA,NA,4.5710,1.6420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_2,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,30,11,2005,NA,NA,NA,MPEG,,male,0.7530,0.1580,0.2830,0.3980,1.4710,1.0590,1.7070,0.1610,0.1730,NA,NA,NA,3.2560,1.1470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_3,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,27,11,2005,NA,NA,NA,MPEG,,male,0.8940,0.1950,0.3730,0.4810,1.9010,1.3870,2.1700,0.1830,0.2250,NA,NA,NA,4.0490,1.4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_4,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,27,11,2005,NA,NA,NA,MPEG,,male,0.8720,0.1820,0.3600,0.4890,1.8290,1.2430,2.0040,0.1830,0.2320,0.2720,0.5510,0.3720,3.8650,1.2770,0.5580,0.4450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_5,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,30,11,2005,NA,NA,NA,MPEG,,male,0.8800,0.1790,0.3620,0.4960,1.8150,1.0260,1.6830,0.1630,0.1760,0.2790,0.5440,0.3550,3.9810,1.3210,0.4910,0.4640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_6,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,24,7,2004,NA,NA,NA,MPEG,,male,0.8950,0.2970,0.3630,0.4860,1.9250,1.1640,1.7080,0.1940,0.1520,NA,NA,NA,3.7720,1.2170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,T,amazonicus_12,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,24,7,2004,NA,NA,NA,MPEG,,male,0.8900,0.2520,0.3590,0.4910,2.0670,1.4950,2.1140,0.1890,0.1770,0.2690,0.5910,0.3740,3.8730,1.3460,0.6260,0.4410,1.2980,0.1410,0.2380,0.2050,0.1530,0.0980,0.1470,0.1740,NA,0.0960,0.0890,0.0910,0.0940,0.0940,0.1140,NA,0.3170,0.1640,1.0150,0.1140,1.5940,0.4860,1.2820,0.2110
Anchylorhynchus_amazonicus,,NA,F,amazonicus_7,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,30,11,2005,NA,NA,NA,MPEG,,female,0.7710,0.1690,0.3130,0.4200,1.4880,0.9950,1.6920,0.1520,0.1760,0.2430,0.4770,0.3430,3.6360,1.1400,0.4280,0.3620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_8,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,30,11,2005,NA,NA,NA,MPEG,,female,0.7510,0.1570,0.3000,0.3950,1.6180,1.0550,1.6840,0.1670,0.1670,0.2280,0.5000,0.3270,3.7800,1.2640,0.3930,0.3770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_9,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,30,11,2005,NA,NA,NA,MPEG,,female,0.7430,0.1440,0.2830,0.3980,1.3620,0.8860,1.5010,0.1440,0.1670,NA,0.4780,0.3000,3.2540,1.0760,0.3750,0.3260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_10,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,24,7,2004,NA,NA,NA,MPEG,,female,0.8300,0.2270,0.3280,0.4780,1.7920,1.2340,1.8250,0.1670,0.1760,0.2430,NA,NA,3.6830,1.2380,0.5040,0.3820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_amazonicus,,NA,F,amazonicus_11,Anchylorhynchus,amazonicus,R. M. Valente,"Brasil - PA, Canaã dos Carajás. Projeto Níquel Vermelho. -6g 28m 32s, -49g52m27s",Brazil,Pará,"Canaã dos Carajás, Projeto Níquel Vermelho",NA,T,-49.87417,-6.4756,T,24,7,2004,NA,NA,NA,MPEG,,female,0.8350,0.2240,0.3050,0.4240,1.6890,1.0810,1.6120,0.1700,0.1630,0.2370,0.5290,0.3330,3.5020,1.1260,0.4480,0.3570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_1,Anchylorhynchus,bicarinatus,G. Gottsberger,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,26,3,1993,NA,NA,NA,MZSP,,male,0.6210,0.1100,0.2720,0.3600,1.0170,0.7250,1.1080,0.1220,0.1030,NA,NA,NA,2.8000,0.9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_7,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,2,6,1993,NA,NA,NA,MZSP,,male,0.5020,0.0850,0.1880,0.2590,0.6670,0.5130,0.7560,0.0680,0.0590,NA,NA,NA,1.9590,0.6380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_8,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,15,6,1993,NA,NA,NA,MZSP,,male,0.6240,0.0920,0.2510,0.3230,0.8840,0.6620,1.0060,0.1040,0.0760,NA,NA,NA,2.4290,0.8610,0.1960,0.2610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_9,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,15,6,1993,NA,NA,NA,MZSP,,male,0.6350,0.1070,0.2520,0.3420,0.9380,0.7160,1.1200,0.0860,0.0800,0.2080,0.4500,0.3270,2.6950,0.9010,0.2190,0.2740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_10,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,7,7,1993,NA,NA,NA,MZSP,,male,0.6360,0.1000,0.3030,0.3520,0.9440,0.7850,1.2070,0.1100,0.0930,0.2110,0.4690,0.3390,2.7660,0.9680,0.2140,0.2900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_11,Anchylorhynchus,bicarinatus,Heike Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,28,3,1993,NA,NA,NA,MZSP,,male,0.5920,0.0960,0.2330,0.2970,0.8810,0.6560,0.9940,0.1050,0.0680,NA,NA,NA,2.4900,0.8670,0.2120,0.2570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_12,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,7,7,1993,NA,NA,NA,MZSP,,male,0.6880,0.1390,0.2860,0.3640,1.0160,0.7760,1.2620,0.1090,0.1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_2,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,15,6,1993,NA,NA,NA,MZSP,,female,0.5870,0.1000,0.2270,0.3120,0.8650,0.6510,0.9410,0.0870,0.0710,NA,NA,NA,2.5020,0.7900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_3,Anchylorhynchus,bicarinatus,H. Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,7,7,1993,NA,NA,NA,MZSP,,female,0.7110,0.1520,0.2910,0.3900,1.1010,0.8940,1.3250,0.1180,0.0920,0.2340,0.4870,0.3330,3.2480,1.0490,0.2340,0.3190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_4,Anchylorhynchus,bicarinatus,"Barbosa, M. G. V.","Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,NA,7,1995,NA,NA,NA,MZSP,,female,0.6000,0.1030,0.2410,0.3030,0.8710,0.6400,1.0210,0.1030,0.0850,NA,NA,NA,2.6160,0.8450,0.2030,0.2610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_5,Anchylorhynchus,bicarinatus,Heike Kuchmeister,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,15,4,1992,NA,NA,NA,MZSP,,female,0.5160,0.0940,0.1850,0.2410,0.7310,0.4910,0.8270,0.0830,0.0640,NA,NA,NA,2.0850,0.5930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,F,gottsbergerorum_6,Anchylorhynchus,bicarinatus,G. Gottsberger,"Reserva Ducke, Manaus-AM",Brazil,Amazonas,"Manaus, Reserva Ducke",NA,F,-59.554,-2.572,T,26,3,1993,NA,NA,NA,MZSP,,female,0.6180,0.0960,0.2360,0.3490,0.9290,0.7200,1.0610,0.1020,0.0810,0.1670,0.4230,0.2910,2.6880,0.9010,0.2140,0.2560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anchylorhynchus_bicarinatus,Anchylorhynchus_gottsbergerorum,gottsbergerorum,T,bicarinatus_10,Anchylorhynchus,bicarinatus,R. M. Valente,"Brasil - PA, Caxiuanã-ECFPn",Brazil,Pará,"Caxiuanã, ECFPn",NA,F,-51.85,-2.083,T,24,8,1995,NA,NA,NA,MPEG,,male,0.8390,0.2260,0.3620,0.5030,1.2230,0.9350,1.5960,0.1430,0.1240,0.3090,0.5050,0.3540,3.3520,1.1920,0.2840,0.3530,0.8230,0.1020,0.1670,0.2230,0.1240,0.0950,0.0840,0.0950,NA,0.0930,0.0610,0.0720,0.0690,0.0800,0.0910,NA,0.4000,0.1520,0.7880,0.0930,1.2860,0.4580,1.1820,0.1850
Anchylorhynchus_bicarinatus,Anchylorhynchus_bicarinatus,bicarinatus,F,bicarinatus_1,Anchylorhynchus,bicarinatus,J. B. Heppner,"PERU: Madre de Dios; Rio Tambopata Res; 30 air km.SW Pto. Maldonado, 290 m.",Peru,Madre de Dios,"Puerto Maldonado, Rio Tambopata",NA,F,-69.183333,-12.6,T,6,11,1979,10,11,1979,USNM,,male,0.6380,0.1530,0.2600,0.3500,1.0250,0.7470,1.1680,0.1340,0.1000,NA,0.3960,0.2750,2.7160,0.9820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
